SOURCE_ID,TITLE,SUBTITLE,AUTHOR,AUTHORS,ORGANIZATION,DATE,YEAR,LANGUAGE,COUNTRY,SOURCE_TYPE,DOMAIN,SUBDOMAIN,TOPICS,CASE_NAME,PARTICIPANTS,URL,DOI,ISBN,ARCHIVE_ID,DOCUMENT_NUMBER,FILE_PATH,FILE_FORMAT,PAGE_COUNT,WORD_COUNT,PRIMARY_SOURCE,SECONDARY_SOURCE,ORIGINAL_SOURCE,HOST_SOURCE,ACCESS_DATE,ACCESS_STATUS,COPYRIGHT_STATUS,LICENSE,TRAINING_PERMISSION,PROVENANCE,RELIABILITY_SCORE,TRAINING_VALUE,UNIQUENESS_SCORE,CASE_VALUE,TRANSCRIPT_VALUE,SOURCE_QUALITY,OCR_REQUIRED,OCR_QUALITY,DUPLICATE_STATUS,PARENT_SOURCE,RELATED_SOURCES,NOTES,SHA256,FILE_SIZE_BYTES,AUTHORITY,PRIMARY_SOURCE_VALUE,RELIABILITY,NEGOTIATION_RELEVANCE,INFORMATION_DENSITY,CASE_DETAIL,TACTICAL_DETAIL,STRATEGIC_DETAIL,OUTCOME_VISIBILITY,COUNTERPARTY_VISIBILITY,UNIQUENESS
INT-UN-CHARTER-1945,Charter of the United Nations and Statute of the International Court of Justice,,,,United Nations,1945-06-26,1945,English,International,treaty,INTERNATIONAL,founding treaty,multilateral negotiation;international organization;collective security,San Francisco Conference,United Nations member states,https://treaties.un.org/doc/publication/ctc/uncharter.pdf,,,,UN Charter,negotiations/INTERNATIONAL/un_charter_1945/original.pdf,PDF,54,,TRUE,FALSE,TRUE,United Nations,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official UN Treaty Collection PDF.,37ceb122b52dfaee7581f9abc3aed3c8ccd4f3e999ff38f98e0df2060eaab483,2972588,5,5,5,5,5,3,3,4,5,4,4
INT-UN-VCLT-1969,Vienna Convention on the Law of Treaties,,,,United Nations,1969-05-23,1969,English,International,treaty,INTERNATIONAL,treaty law,treaty negotiation;interpretation;ratification;reservations,Vienna Conference on the Law of Treaties,States Parties,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,,,,A/CONF.39/27,negotiations/INTERNATIONAL/vienna_convention_law_treaties_1969/original.pdf,PDF,31,,TRUE,FALSE,TRUE,United Nations,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official UN Office of Legal Affairs text.,f01906ba0581d7329f685d49656e9a7cb3c5d0a8790219e1600c1edb30893d08,160283,5,5,5,5,5,3,3,4,5,4,4
INT-WTO-MARRAKESH-1994,Marrakesh Agreement Establishing the World Trade Organization,,,,World Trade Organization,1994-04-15,1994,English,International,trade agreement,INTERNATIONAL,multilateral trade,Uruguay Round;institution building;trade negotiation,Uruguay Round,WTO members,https://www.wto.org/english/docs_e/legal_e/04-wto.pdf,,,,WTO Agreement,negotiations/INTERNATIONAL/wto_marrakesh_agreement_1994/original.pdf,PDF,13,,TRUE,FALSE,TRUE,World Trade Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official WTO legal text PDF.,303dafaee1d9ba9115001ac3d130bbc6f6849aafcbd0bc3106e2929341285f81,146945,5,5,5,5,5,3,3,4,5,4,4
INT-WTO-GATT-1994,General Agreement on Tariffs and Trade 1994,,,,World Trade Organization,1994-04-15,1994,English,International,trade agreement,INTERNATIONAL,goods trade,tariffs;concessions;trade negotiation;safeguards,Uruguay Round,WTO members,https://www.wto.org/english/docs_e/legal_e/06-gatt.pdf,,,,GATT 1994,negotiations/INTERNATIONAL/gatt_1994/original.pdf,PDF,2,,TRUE,FALSE,TRUE,World Trade Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official WTO legal text PDF.,0caa75ada80990ad6f6a71f9a76b333e43511d5337f8b41aceb00e87cd98ecf9,41216,5,5,5,5,5,3,3,4,5,4,4
INT-WTO-TRIPS-1994,Agreement on Trade-Related Aspects of Intellectual Property Rights,,,,World Trade Organization,1994-04-15,1994,English,International,trade agreement,INTERNATIONAL,intellectual property,intellectual property;licensing;trade negotiation;enforcement,Uruguay Round,WTO members,https://www.wto.org/english/docs_e/legal_e/27-trips.pdf,,,,TRIPS,negotiations/INTERNATIONAL/wto_trips_agreement_1994/original.pdf,PDF,33,,TRUE,FALSE,TRUE,World Trade Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official WTO legal text PDF.,baa5beb7dda530e57dcf126779e4a0a53571460e19ed72a8aeb6e90500af5540,197733,5,5,5,5,5,3,3,4,5,4,4
INT-WTO-DSU-1994,Understanding on Rules and Procedures Governing the Settlement of Disputes,,,,World Trade Organization,1994-04-15,1994,English,International,dispute settlement agreement,LEGAL,international dispute resolution,consultation;mediation;settlement;arbitration;implementation,Uruguay Round,WTO members,https://www.wto.org/english/docs_e/legal_e/28-dsu.pdf,,,,DSU,negotiations/LEGAL/wto_dispute_settlement_understanding_1994/original.pdf,PDF,26,,TRUE,FALSE,TRUE,World Trade Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official WTO legal text PDF.,db4ec5ff20e340b7b2f3aec0667518f86173b60c0323bf21d2274c4b08bf9896,144056,5,5,5,5,5,3,3,4,5,4,4
LAB-ILO-CB-GUIDE-2015,Collective Bargaining: A Policy Guide,,,,International Labour Organization,2015-01-01,2015,English,International,institutional guide,LABOR,collective bargaining,collective bargaining;labor negotiation;dispute prevention;implementation,,governments;employers;workers organizations,https://www.ilo.org/sites/default/files/wcmsp5/groups/public/%40ed_protect/%40protrav/%40travail/documents/instructionalmaterial/wcms_425004.pdf,,,,ISBN 978-92-2-129232-6,negotiations/LABOR/ilo_collective_bargaining_policy_guide_2015/original.pdf,PDF,106,,FALSE,TRUE,TRUE,International Labour Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,4,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official ILO open web PDF; secondary institutional guidance with model processes.,1557823a48fbe3948750e389ec045e8e79115a2ba3298dedc0194c2fece66623,2267646,5,2,5,5,5,3,3,4,5,4,4
VC-NVCA-LIFESCI-TS-2022,Model Term Sheet for University Life Science Startup License,,,,National Venture Capital Association,2022-11-19,2022,English,United States,model term sheet,VC,life-science venture licensing,term sheet;university licensing;equity;royalties;milestones;sublicensing,US-BOLT Life Science,universities;venture capital firms;startup licensees,https://nvca.org/wp-content/uploads/2022/11/TTO-and-VC-Early-Stage-Life-Science-Term-Sheet-11-19-22-launch.pdf,,,,US-BOLT Life Science,negotiations/VC/nvca_life_science_license_term_sheet_2022/original.pdf,PDF,21,,TRUE,FALSE,TRUE,National Venture Capital Association,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Freely downloadable official NVCA model document.,c310e63da0b077b3fd3c9f80f180c61b7ac66f4550dda936eefa48a05d09acff,313230,5,5,5,5,5,3,3,4,5,4,4
VC-NVCA-CLIMATE-TS-2024,"University Startup Basic Outlicense Template: Climate, Environment and Sustainability-Related Tech",,,,National Venture Capital Association,2024-04-04,2024,English,United States,model term sheet,VC,climate-tech venture licensing,term sheet;university licensing;equity;royalties;milestones;sublicensing,US-BOLT Climate,universities;venture capital firms;startup licensees,https://nvca.org/wp-content/uploads/2024/04/US-BOLT-Term-Sheet-Climate-final-4-4-24.pdf,,,,US-BOLT Climate,negotiations/VC/nvca_climate_license_term_sheet_2024/original.pdf,PDF,20,,TRUE,FALSE,TRUE,National Venture Capital Association,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Freely downloadable official NVCA model document.,e948f52514ea65fb8d5042b0295216aa3f589a35cacf02c57c43636fdfd3a54f,290910,5,5,5,5,5,3,3,4,5,4,4
MA-LINKEDIN-MSFT-2016,LinkedIn Definitive Proxy Statement: Microsoft Merger,,,,LinkedIn Corporation; U.S. Securities and Exchange Commission,2016-07-22,2016,English,United States,SEC merger proxy,MA,technology M&A,auction;offers;counteroffers;exclusivity;termination fee;board process,Microsoft acquisition of LinkedIn,Microsoft;LinkedIn;Party A;Qatalyst Partners,https://www.sec.gov/Archives/edgar/data/1271024/000104746916014430/a2229104zdefm14a.htm,,,,SEC 0001047469-16-014430,negotiations/MA/linkedin_microsoft_definitive_proxy_2016/original.html,HTML,,139706,TRUE,FALSE,TRUE,U.S. Securities and Exchange Commission,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,5,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official EDGAR filing; contains detailed background of merger and annexed merger agreement.,996f75581d669eada2836e0f732a9f01fb284a71a6728b7690fb20b5d189816b,1518876,5,5,5,5,5,5,5,5,5,4,4
