SOURCE_ID,TITLE,SUBTITLE,AUTHOR,AUTHORS,ORGANIZATION,DATE,YEAR,LANGUAGE,COUNTRY,SOURCE_TYPE,DOMAIN,SUBDOMAIN,TOPICS,CASE_NAME,PARTICIPANTS,URL,DOI,ISBN,ARCHIVE_ID,DOCUMENT_NUMBER,FILE_PATH,FILE_FORMAT,PAGE_COUNT,WORD_COUNT,PRIMARY_SOURCE,SECONDARY_SOURCE,ORIGINAL_SOURCE,HOST_SOURCE,ACCESS_DATE,ACCESS_STATUS,COPYRIGHT_STATUS,LICENSE,TRAINING_PERMISSION,PROVENANCE,RELIABILITY_SCORE,TRAINING_VALUE,UNIQUENESS_SCORE,CASE_VALUE,TRANSCRIPT_VALUE,SOURCE_QUALITY,OCR_REQUIRED,OCR_QUALITY,DUPLICATE_STATUS,PARENT_SOURCE,RELATED_SOURCES,NOTES,AUTHORITY,PRIMARY_SOURCE_VALUE,NEGOTIATION_RELEVANCE,INFORMATION_DENSITY,CASE_DETAIL,TACTICAL_DETAIL,STRATEGIC_DETAIL,OUTCOME_VISIBILITY,COUNTERPARTY_VISIBILITY,SHA256,FILE_SIZE_BYTES
USGOV-PRES-0001,"Ford-Kissinger Middle East Negotiation Strategy, Cabinet Meeting",,White House record,White House record,Gerald R. Ford Presidential Library,1975-03-26,1975,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Sinai II disengagement negotiations,Gerald Ford; Henry Kissinger; Cabinet,https://www.fordlibrarymuseum.gov/library/document/0314/1553002.pdf,,,1553002,1553002,GOVERNMENT/PRESIDENTIAL/sinai_strategy_cabinet_1975/original.pdf,PDF,6,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Memorandum of conversation; suspension, positions, leverage, and next steps",5,5,5,5,5,4,5,4,5,659208fb930651f53ba67bb961eea0e2874411635946e87f55af81fdc06bda19,638608
USGOV-PRES-0002,Ford-Kissinger Discussion of Sinai Interim Settlement Options,,White House record,White House record,Gerald R. Ford Presidential Library,1975-06-20,1975,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Sinai II disengagement negotiations,Gerald Ford; Henry Kissinger; Brent Scowcroft,https://www.fordlibrarymuseum.gov/sites/default/files/pdf_documents/library/document/0314/1553131.pdf,,,1553131,1553131,GOVERNMENT/PRESIDENTIAL/sinai_options_1975_06_20/original.pdf,PDF,4,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Memorandum of conversation with map-line bargaining, pressure, aid leverage, and settlement options",5,5,5,5,5,4,5,4,5,c9b1c9b18740048683e10e1c8905ea5ac42d2828ea637584cdb1d6e28eab9ee3,481397
USGOV-PRES-0003,Ford-Kissinger-Clements Discussion of SALT and Vladivostok,,White House record,White House record,Gerald R. Ford Presidential Library,1975,1975,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,SALT II / Vladivostok framework,Gerald Ford; Henry Kissinger; William Clements,https://www.fordlibrarymuseum.gov/library/document/0314/1553248.pdf,,,1553248,1553248,GOVERNMENT/PRESIDENTIAL/salt_vladivostok_postmortem/original.pdf,PDF,8,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Candid internal negotiation postmortem concerning positions, process, cruise missiles, and Backfire",5,5,5,5,5,4,5,4,5,9c1b7fd161ae1973f4591aec914e3b92ece68e6f84028941563fa1f24c136fcf,673302
USGOV-PRES-0004,Kissinger-Schlesinger Discussion of Sinai Disengagement,,White House record,White House record,Gerald R. Ford Presidential Library,1974,1974,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Sinai I disengagement negotiations,Henry Kissinger; James Schlesinger,https://www.fordlibrarymuseum.gov/library/document/0314/1552647.pdf,,,1552647,1552647,GOVERNMENT/PRESIDENTIAL/sinai_disengagement_1974/original.pdf,PDF,6,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Memorandum of conversation on Egyptian proposal, oil embargo, military positions, and Canal interests",5,5,5,5,5,4,5,4,5,07a34ba6a7e50c6ad8f10562c9a91a88a41d597dc6fd53aada4031bf27fc1e36,464085
USGOV-PRES-0005,Ford-Kissinger-Rockefeller Discussion after Middle East Shuttle Breakdown,,White House record,White House record,Gerald R. Ford Presidential Library,1975-03-28,1975,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,1975 Middle East shuttle diplomacy breakdown,Gerald Ford; Henry Kissinger; Nelson Rockefeller,https://www.fordlibrarymuseum.gov/library/document/0314/1553010.pdf,,,1553010,1553010,GOVERNMENT/PRESIDENTIAL/shuttle_breakdown_1975/original.pdf,PDF,13,,TRUE,FALSE,The White House,Gerald R. Ford Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,"Transcript-like notes on pressure, U.S. plan, and failed shuttle diplomacy",5,5,5,5,5,4,5,4,5,3ecc089165b7974cedd85b75fb5d49ce2d812b9e8fe8c052c497eabc0973ac0e,874580
USGOV-NARA-0001,Soviet and U.S. Delegations to INTELSAT: Memorandum of Conversation,,White House record,White House record,National Archives and Records Administration,1969-02-25,1969,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,INTELSAT negotiations,Leonard Marks; Minoshin; Aldoshin; Thacher,https://www.archives.gov/files/declassification/iscap/pdf/2014-045-doc15.pdf,,,ISCAP 2014-045 doc. 15,ISCAP 2014-045 doc. 15,GOVERNMENT/TRANSCRIPTS/intelsat_us_soviet_memcon/original.pdf,PDF,2,,TRUE,FALSE,The White House,National Archives and Records Administration,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified direct memorandum of conversation showing positions and framing,5,5,5,5,5,4,5,4,5,d96ae413696963cafae18314214aec160ca5678ff4c442af243430d8d7fa210a,1177430
USGOV-NARA-0002,Pakistani and U.S. Delegations to INTELSAT: Memorandum of Conversation,,White House record,White House record,National Archives and Records Administration,1969-01-15,1969,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,INTELSAT negotiations,Pakistani delegation; U.S. delegation,https://www.archives.gov/files/declassification/iscap/pdf/2014-045-doc16.pdf,,,ISCAP 2014-045 doc. 16,ISCAP 2014-045 doc. 16,GOVERNMENT/TRANSCRIPTS/intelsat_us_pakistan_memcon/original.pdf,PDF,3,,TRUE,FALSE,The White House,National Archives and Records Administration,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified direct memorandum of conversation,5,5,5,5,5,4,5,4,5,9cbc043efa84e0e09b9fa8f5a82326ac6f8668bb80a9909907f6971801e216bf,1044698
USGOV-NARA-0003,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1993-05-05,1993,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-01.pdf,,,ISCAP 2016-156 doc. 01,ISCAP 2016-156 doc. 01,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_01/original.pdf,PDF,2,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,dd2a67fa13efb83366986adc76f7e0778d75e8435950815114b846907989f5f0,84767
USGOV-NARA-0004,"Private Dinner with Russian President Yeltsin: Middle East, China, Iran, Nuclear Control",,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1997-03-21,1997,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-02.pdf,,,ISCAP 2016-156 doc. 02,ISCAP 2016-156 doc. 02,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_02/original.pdf,PDF,6,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,846ac7fa686408653d1b33ecf2b71e8b828a32434a2fb45a2b2281bcc78f2403,288295
USGOV-NARA-0005,Memorandum of Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1997-11-22,1997,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-03.pdf,,,ISCAP 2016-156 doc. 03,ISCAP 2016-156 doc. 03,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_03/original.pdf,PDF,6,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,77ea2e90d247171c7603ed677ce0c58c4fd7dce7f9fd1f4fd22ad84e59c3ca42,350769
