SOURCE_ID,TITLE,URL,STATUS,ERROR,ACCESS_DATE
USGOV-CIA-0001,The Narrowness of the Soviet Negotiators,https://www.cia.gov/readingroom/docs/CIA-RDP88B00443R000301140036-7.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0002,SALT Two Session I A-97: Memorandum of Conversation,https://www.cia.gov/readingroom/docs/CIA-RDP80T00294A000300090022-8.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0003,"Instructions for the SALT Talks in Geneva, July 2, 1975",https://www.cia.gov/readingroom/docs/CIA-RDP80T00294A001200010018-2.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0004,Soviet Approach to Arms Control in 1985,https://www.cia.gov/readingroom/docs/19850301A.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0005,Soviet Position in the Nuclear and Space Talks: INF,https://www.cia.gov/readingroom/docs/CIA-RDP90G01353R000800110002-4.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0006,The Paris Peace Talks,https://www.cia.gov/readingroom/docs/DOC_0005359871.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0007,Soviet Strategy to Derail U.S. Arms Control Initiatives,https://www.cia.gov/readingroom/docs/19830201.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0008,Soviet Tactical Nuclear Forces and Negotiating Positions,https://www.cia.gov/readingroom/docs/DOC_0000265651.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0009,NATO: Adjusting the Alliance from Consultation to Negotiation,https://www.cia.gov/readingroom/docs/CIA-RDP84B00049R001002500008-1.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
USGOV-CIA-0010,"The Soviet Union: Policy, Prospects, and Implications for the United States",https://www.cia.gov/readingroom/docs/CIA-RDP90B01013R000300490002-0.pdf,FAILED,not a substantive PDF (38382 bytes),2026-09-20
