source_id,pmcid,title,authors,year,doi,query,pdf_url,landing_url,host_source,license,file_path,sha256,file_size_bytes,access_date,access_status,http_status,error
EPMC-PMC12977934,PMC12977934,Intentional Negotiation and Filling of Accessory Canals: A Case Series With Three-Dimensional Segmentation and Volumetric Healing Assessment.,"Carpena LP, Braz GL, Vieira HT, Ferreira NS.",2026,10.1111/iej.70079,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12977934.1/PMC12977934.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12977934/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/4604a8c2a49db482d1ccbb0136a491eb9a93384ea36d15f1cae7e9e6285857ec.pdf,4604a8c2a49db482d1ccbb0136a491eb9a93384ea36d15f1cae7e9e6285857ec,685384,2026-09-21,downloaded,200,
EPMC-PMC11916946,PMC11916946,Breaking barriers: predictors of condom use negotiation among adolescent girls and young women in Mozambique.,Baruwa OJ.,2025,10.1186/s12889-025-22315-0,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC11916946.1/PMC11916946.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11916946/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/c0b55886d88d8c52d0e57061cc64f09875577ebfc5dc1a3e2e4e187ffdab459c.pdf,c0b55886d88d8c52d0e57061cc64f09875577ebfc5dc1a3e2e4e187ffdab459c,1031378,2026-09-21,downloaded,200,
EPMC-PMC12912832,PMC12912832,"Intellectual Property Rights and Global Access to Health Technologies During Pandemics: Reflecting on Vaccine Nationalism, COVID-19 &amp; the WHO Pandemic Agreement Negotiations - The Need for Collective Action and Institutional Change.",McMahon AM.,2025,10.1017/jme.2025.10149,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12912832.1/PMC12912832.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12912832/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/79e4fbd015b55df9d2fb14e98c67b10c1281794d1b77f8753a64200c0997ae5f.pdf,79e4fbd015b55df9d2fb14e98c67b10c1281794d1b77f8753a64200c0997ae5f,416534,2026-09-21,downloaded,200,
EPMC-PMC12701336,PMC12701336,Revisiting European social dialogue: A systematic literature review.,"Cárdenas Domínguez F, Fernández García M, Molinero Gerbeau Y.",2025,10.12688/openreseurope.21020.1,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12701336.1/PMC12701336.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12701336/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/96d94e65833439fb0808bcf19b3c21494e5a0c24b98b6dc450280562d34f4d30.pdf,96d94e65833439fb0808bcf19b3c21494e5a0c24b98b6dc450280562d34f4d30,1670131,2026-09-21,downloaded,200,
EPMC-PMC12980563,PMC12980563,Between Exclusion and Legitimacy: Identity Negotiation and Ethical Dilemmas of Chinese Lesbians in the Assisted Reproduction System.,Liu Y.,2026,10.1111/dewb.70019,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12980563.1/PMC12980563.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12980563/,PubMed Central,cc by-nc-nd,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/67cca0e45a912f22d9454ccf9494d1a2c90650aca5d57ff9697a008e4bea8343.pdf,67cca0e45a912f22d9454ccf9494d1a2c90650aca5d57ff9697a008e4bea8343,745696,2026-09-21,downloaded,200,
EPMC-PMC11817615,PMC11817615,Medicare Advantage penetration and the financial distress of rural hospitals.,"Cataife G, Liu S.",2025,10.1186/s13561-025-00599-7,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC11817615.1/PMC11817615.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11817615/,PubMed Central,cc by-nc-nd,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/9ddd170a7c5b69cdcbe7f49c52572ecbd5f49da711959dd106ef5b1770ff1eae.pdf,9ddd170a7c5b69cdcbe7f49c52572ecbd5f49da711959dd106ef5b1770ff1eae,777030,2026-09-21,downloaded,200,
EPMC-PMC12574164,PMC12574164,"Impact of six rounds of national drug price negotiation on availability, cost, use, and prices of targeted drugs in China.","Hu Q, Kuai L, Xu D, Lyu L.",2025,10.1186/s12913-025-13575-y,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12574164.1/PMC12574164.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12574164/,PubMed Central,cc by-nc-nd,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/af5c83459a22b5c9263adc58e1587382267bf9b0d5584552156b653f2804ca7b.pdf,af5c83459a22b5c9263adc58e1587382267bf9b0d5584552156b653f2804ca7b,3109926,2026-09-21,downloaded,200,
EPMC-PMC12146279,PMC12146279,Social influence in persuasion and negotiation: a hyperscanning EEG and autonomic measures study.,"Balconi M, Rovelli K, Angioletti L.",2025,10.3389/fnins.2025.1604389,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12146279.1/PMC12146279.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12146279/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/43d81c19017f25a0222b8a2f3de860c13b474b9b3f002f426ae878d938c450cf.pdf,43d81c19017f25a0222b8a2f3de860c13b474b9b3f002f426ae878d938c450cf,2075313,2026-09-21,downloaded,200,
EPMC-PMC12683830,PMC12683830,When one size does not fit all - New Zealand perspectives on the International Health Regulations during the COVID-19 pandemic.,"Yim LW, Bullen C, Bloomfield A, McCool J.",2025,10.1186/s12992-025-01160-1,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12683830.1/PMC12683830.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12683830/,PubMed Central,cc by-nc-nd,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/f4d1998a25a842ee5393f2f5aacf04a3efbb5aa19a0d87f92f80fd766f8e4b1a.pdf,f4d1998a25a842ee5393f2f5aacf04a3efbb5aa19a0d87f92f80fd766f8e4b1a,904189,2026-09-21,downloaded,200,
EPMC-PMC12649738,PMC12649738,Understanding Attorneys' Plea Advice: The Role of Defendant Guilt and Trial Penalties.,"Burke JL, Wilford MM, Yang Y.",2025,10.3390/bs15111465,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12649738.1/PMC12649738.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12649738/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/9b04b3d849a2dca6a0a308f3ef0513646a5ed5b8f595309c6c10a44d9a9d9bd8.pdf,9b04b3d849a2dca6a0a308f3ef0513646a5ed5b8f595309c6c10a44d9a9d9bd8,879902,2026-09-21,downloaded,200,
