country,date,document_number,error,language,listing_url,organization,provider,query,record_id,source_type,status,title,topics,url
Brazil,2001-05-30,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/683831468236998299/pdf/ABAB7E4B060E8D5085256F030011B320.pdf,English,http://documents.worldbank.org/curated/en/683831468236998299/Conformed-Copy-L4554-Northeast-Microfinance-Development-Project-Amendment,World Bank,World Bank Documents & Reports,negotiation,5086189,Agreement,FAILED,Conformed Copy - L4554 - Northeast Microfinance Development Project - Amendment,"Post Conflict Reconstruction,Rural Microfinance and SMEs,Debt Markets,Microfinance,Bankruptcy and Resolution of Financial Distress,Public Sector Corruption & Anticorruption Measures",https://documents.worldbank.org/curated/en/683831468236998299/pdf/ABAB7E4B060E8D5085256F030011B320.pdf
"Russian Federation,Malaysia,Korea, Republic of,Thailand,Indonesia",1999-12-31,WPS2259,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/723881468752391678/pdf/multi-page.pdf,English,http://documents.worldbank.org/curated/en/723881468752391678/Predicting-currency-fluctuations-and-crises-do-resident-firms-have-an-informational-advantage,World Bank,World Bank Documents & Reports,bargaining,439212,Policy Research Working Paper,FAILED,Predicting currency fluctuations and crises - do resident firms have an informational advantage?,"State Owned Enterprise Reform,Public Sector Administrative & Civil Service Reform,Banks & Banking Reform,Capital Markets and Capital Flows,Non Bank Financial Institutions,Capital Flows,Privatization,Energy Privatization,Macroeconomic Management,Mutual Funds,Transport Services,Democratic Government,Economics and Finance of Public Institution Development,Public Sector Administrative and Civil Service Reform,De Facto Governments",https://documents.worldbank.org/curated/en/723881468752391678/pdf/multi-page.pdf
China,2018-01-01,SFG4734,HTTPError:500 Server Error: Internal Server Error for url: https://documents1.worldbank.org/curated/en/119271541064021029/pdf/L-e%7FF-ECF-Eng-01-23.pdf,English,http://documents.worldbank.org/curated/en/119271541064021029/Employee-Compensation-Framework,World Bank,World Bank Documents & Reports,mediation,30567896,Environmental Assessment,FAILED,China - HCFC Phase-out Project : environmental assessment : Employee Compensation Framework,"Global Environment,Employment and Unemployment,Rural Labor Markets,Disease Control & Prevention,Labor Markets,Social Development & Poverty",https://documents.worldbank.org/curated/en/119271541064021029/pdf/L-eF-ECF-Eng-01-23.pdf
China,2018-01-01,SFG4734,HTTPError:500 Server Error: Internal Server Error for url: https://documents1.worldbank.org/curated/en/353691541064150119/pdf/L-e%7FF-ECF-Chs-01-23.pdf,Chinese,http://documents.worldbank.org/curated/en/353691541064150119/职工补偿框架,World Bank,World Bank Documents & Reports,mediation,30568089,Environmental Assessment,FAILED,China - HCFC Phase-out Project : environmental assessment : 职工补偿框架,"Global Environment,Employment and Unemployment,Rural Labor Markets,Disease Control & Prevention,Labor Markets,Social Development & Poverty",https://documents.worldbank.org/curated/en/353691541064150119/pdf/L-eF-ECF-Chs-01-23.pdf
Mauritania,2021-05-18,STEP49257,ValueError:stream_exceeds_limit:63162960,English,http://documents.worldbank.org/curated/en/706001624620109395/Mauritania-AFRICA-WEST-P163563-Supporting-Gas-Project-Negotiations-and-Enhancing-Institutional-Capacities-Procurement-Plan,World Bank,World Bank Documents & Reports,negotiation,33214521,Procurement Plan,FAILED,Mauritania - AFRICA WEST- P163563- Supporting Gas Project Negotiations and Enhancing Institutional Capacities - Procurement Plan,"Hydrology,Water Supply and Sanitation Economics,Small Private Water Supply Providers,Water and Human Health,Sanitation and Sewerage,Town Water Supply and Sanitation,Health and Sanitation,Environmental Engineering,Sanitary Environmental Engineering,Engineering,Food & Beverage Industry,Business Cycles and Stabilization Policies,Common Carriers Industry,Pulp & Paper Industry,Textiles, Apparel & Leather Industry,Agribusiness,Plastics & Rubber Industry",https://documents.worldbank.org/curated/en/706001624620109395/pdf/Mauritania-AFRICA-WEST-P163563-Supporting-Gas-Project-Negotiations-and-Enhancing-Institutional-Capacities-Procurement-Plan.pdf
World,2013-01-01,73068,ValueError:stream_exceeds_limit:63145251,Chinese,http://documents.worldbank.org/curated/en/883381468323335006/就业机会,World Bank,World Bank Documents & Reports,bargaining,20138400,World Development Report,FAILED,World development report 2013 : 就业机会,"Employment and Unemployment,Wages, Compensation & Benefits,Labor Standards,Social Protections & Assistance,Labor Markets",https://documents.worldbank.org/curated/en/883381468323335006/pdf/730680PUB0CHIN0UBLIC00December42013.pdf
Uruguay,1987-11-01,189358,ValueError:stream_exceeds_limit:62945830,English,http://documents.worldbank.org/curated/en/099646504182428245/IDU1f20ec16a1326a145d0192321b2bc91e70295,World Bank,World Bank Documents & Reports,negotiation,34303824,Publication,FAILED,The Uruguay Round - A Handbook on the Multilateral Trade Negotiations,,https://documents.worldbank.org/curated/en/099646504182428245/pdf/IDU1f20ec16a1326a145d0192321b2bc91e70295.pdf
Uruguay,1988-12-01,189348,ValueError:stream_exceeds_limit:63045263,French,http://documents.worldbank.org/curated/en/099635204182442091/IDU124c596971fdfc143281a365196278c6dcab4,World Bank,World Bank Documents & Reports,negotiation,34304091,Publication,FAILED,L'Uruguay Round - Une Introduction aux Negotiations Commerciales Multilaterales,,https://documents.worldbank.org/curated/en/099635204182442091/pdf/IDU124c596971fdfc143281a365196278c6dcab4.pdf
World,2018-08-14,112303,ValueError:stream_exceeds_limit:62939831,Chinese,http://documents.worldbank.org/curated/en/777961553877838439/World-Development-Report-2017-governance-and-the-law,World Bank,World Bank Documents & Reports,bargaining,30943270,World Development Report,FAILED,2017年世界发展报告 ：治理与法律,,https://documents.worldbank.org/curated/en/777961553877838439/pdf/World-Development-Report-2017-governance-and-the-law.pdf
Ecuador,1996-09-19,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/590781468025728512/pdf/2DDB88B29146859585256F03000D0DFF.pdf,English,http://documents.worldbank.org/curated/en/590781468025728512/Conformed-Copy-L4066-Judicial-Reform-Project-Amendment-2,World Bank,World Bank Documents & Reports,mediation,5082881,Agreement,FAILED,Conformed Copy - L4066 - Judicial Reform Project - Amendment 2,"Judicial System Reform,Skills Development and Labor Force Training,Public Sector Corruption & Anticorruption Measures,m,Bankruptcy and Resolution of Financial Distress,Debt Markets,Crime and Society,Poverty Impact Evaluation",https://documents.worldbank.org/curated/en/590781468025728512/pdf/2DDB88B29146859585256F03000D0DFF.pdf
Russian Federation,2013-01-01,76216,"ReadTimeout:HTTPSConnectionPool(host='documents1.worldbank.org', port=443): Read timed out. (read timeout=20)",Russian,http://documents.worldbank.org/curated/en/372151468092957477/Russia-Strengthening-access-to-justice-a-JSDF-grant-to-empower-vulnerable-groups,World Bank,World Bank Documents & Reports,mediation,17481693,Brief,FAILED,Russia - Strengthening access to justice : a JSDF grant to empower vulnerable groups,"Legal Products,Gender and Law,E-Business,Social Accountability,Legal Institutions of the Market Economy",https://documents.worldbank.org/curated/en/372151468092957477/pdf/762160BRI0Box30OWLEDGE0NOTES0SERIES.pdf
Indonesia,2014-01-01,RP1040,ValueError:stream_exceeds_limit:63112659,Bahasa (Indonesian),http://documents.worldbank.org/curated/en/232181468043464323/Rencana-Kerja-Pengadaan-Tanah-dan-Relokasi-RK-PTR-peningkatan-jalan-sibolga-bts-Tapsel-kabupaten-tapanuli-tengah-provonsi-sumatera-utara,World Bank,World Bank Documents & Reports,negotiation,19452362,Resettlement Plan,FAILED,Indonesia - Western Indonesia National Road Improvement Project : resettlement plan (Vol. 16) : Rencana Kerja Pengadaan Tanah dan Relokasi (RK-PTR) peningkatan jalan sibolga-bts. Tapsel kabupaten tapanuli tengah provonsi sumatera utara,,https://documents.worldbank.org/curated/en/232181468043464323/pdf/RP10400V160BAH00Box382149B00PUBLIC0.pdf
Argentina,2002-01-01,25081,ValueError:stream_exceeds_limit:63084148,English,http://documents.worldbank.org/curated/en/315981468002087349/Argentina-Legal-and-judicial-sector-assessment,World Bank,World Bank Documents & Reports,mediation,2064722,Working Paper,FAILED,Argentina - Legal and judicial sector assessment,"Human Rights,Judicial System Reform,Educational Sciences,Law and Justice Institutions,Justice for the Poor",https://documents.worldbank.org/curated/en/315981468002087349/pdf/multi0page.pdf
World,2012-10-01,73068,ValueError:stream_exceeds_limit:63130017,English,http://documents.worldbank.org/curated/en/614751468318549605/World-development-report-2013-jobs,World Bank,World Bank Documents & Reports,bargaining,23783880,World Development Report,FAILED,World development report 2013 : World development report 2013 : jobs,"Labor Standards,Labor Markets,Social Protections & Assistance,Wages, Compensation & Benefits,Employment and Unemployment",https://documents.worldbank.org/curated/en/614751468318549605/pdf/World-development-report-2013-jobs.pdf
Ecuador,1995-11-27,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/620211468023690176/pdf/D6204743B33908D385256F03000D0EDA.pdf,English,http://documents.worldbank.org/curated/en/620211468023690176/Conformed-Copy-TF029208-Judicial-Reform-Project-Japanese-Grant-Agreement,World Bank,World Bank Documents & Reports,mediation,5082883,Grant or Trust Fund Agreement,FAILED,Conformed Copy - TF029208 - Judicial Reform Project - Japanese Grant Agreement,"Settlement of Investment Disputes,Judicial System Reform,Social Protections & Assistance,Post Conflict Reconstruction,Public Sector Corruption & Anticorruption Measures,Justice for the Poor,Law and Justice Institutions,Debt Markets,Crime and Society,m,Banks & Banking Reform",https://documents.worldbank.org/curated/en/620211468023690176/pdf/D6204743B33908D385256F03000D0EDA.pdf
World,2004-09-01,63956,"ReadTimeout:HTTPSConnectionPool(host='documents1.worldbank.org', port=443): Read timed out. (read timeout=20)",French,http://documents.worldbank.org/curated/en/308271474890368716/Conseiller-a-Médiateur-2003-04-rapport-annuel,World Bank,World Bank Documents & Reports,mediation,26815508,Annual Report,FAILED,The office of the Compliance Advisor Ombudsman (CAO) 2003-2004 annual report : Conseiller a Médiateur - 2003 - 04 rapport annuel,"Governance and Financial Sector,Globalization and Financial Integration,Financial Structures,Financial Regulation & Supervision,Financial Literacy,Financial Law,Financial Economics",https://documents.worldbank.org/curated/en/308271474890368716/pdf/63956-FRENCH-CAO-AR2004-FRENCH.pdf
Afghanistan,2013-07-21,81338,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",Pashto,http://documents.worldbank.org/curated/en/120781467989584639/Impact-evaluation-of-NSP-using-evaluation-findings-to-strengthen-the-program,World Bank,World Bank Documents & Reports,mediation,18397871,Brief,FAILED,Impact evaluation of NSP : using evaluation findings to strengthen the program,"Governance Indicators,Housing & Human Habitats,Rural Portfolio Improvement,Poverty Monitoring & Analysis,Transport Economics Policy & Planning",https://documents.worldbank.org/curated/en/120781467989584639/pdf/813380Pashto0b0n0the0program0pashto.pdf
World,2019-03-25,WPS8793,"ReadTimeout:HTTPSConnectionPool(host='documents1.worldbank.org', port=443): Read timed out. (read timeout=20)",English,http://documents.worldbank.org/curated/en/712051553538064554/Import-Uncertainty-and-Export-Dynamics,World Bank,World Bank Documents & Reports,mediation,30929008,Policy Research Working Paper,FAILED,Import Uncertainty and Export Dynamics,"International Trade and Trade Rules,Common Carriers Industry,Food & Beverage Industry,Plastics & Rubber Industry,Textiles, Apparel & Leather Industry,Pulp & Paper Industry,Construction Industry,Business Cycles and Stabilization Policies,General Manufacturing,Employment and Unemployment,Transport Services,Business Environment",https://documents.worldbank.org/curated/en/712051553538064554/pdf/Import-Uncertainty-and-Export-Dynamics.pdf
Africa,2015-11-18,PAD1616,"ReadTimeout:HTTPSConnectionPool(host='documents1.worldbank.org', port=443): Read timed out. (read timeout=20)",English,http://documents.worldbank.org/curated/en/363421467999385788/Congo-Democratic-Republic-of-Eastern-Recovery-Project-additional-financing,World Bank,World Bank Documents & Reports,mediation,25485803,Project Paper,FAILED,"Congo, Democratic Republic of - Eastern Recovery Project : additional financing","Labor Markets,Disability,Services & Transfers to Poor,Economic Assistance,Access of Poor to Social Services,Social Cohesion,Inequality,Global Environment",https://documents.worldbank.org/curated/en/363421467999385788/pdf/PAD1616-PJPR-P157303-Box393255B-OUO-9-IDA-R2015-0293-1.pdf
Bosnia and Herzegovina,2019-12-01,148659,ValueError:stream_exceeds_limit:62945927,English,http://documents.worldbank.org/curated/en/701531589977145839/Self-Representation-Guide-for-Micro-Small-and-Medium-Sized-Enterprises-in-Federation-of-Bosnia-and-Herzegovina,World Bank,World Bank Documents & Reports,mediation,32052684,Report,FAILED,"Self Representation Guide for Micro, Small, and Medium-Sized Enterprises in Federation of Bosnia and Herzegovina","Judicial System Reform,Law and Justice Institutions,Justice for the Poor,Settlement of Investment Disputes,Crime and Society",https://documents.worldbank.org/curated/en/701531589977145839/pdf/Self-Representation-Guide-for-Micro-Small-and-Medium-Sized-Enterprises-in-Federation-of-Bosnia-and-Herzegovina.pdf
World,2012-05-01,71310,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",Spanish,http://documents.worldbank.org/curated/en/855281468179969977/Apoyo-al-doble-resultado-final-participaci-243-n-activa-de-los-inversionistas-en-capital-accionario-en-la-gesti-243-n-institucional-de-entidades-microfinancieras-BR,World Bank,World Bank Documents & Reports,mediation,19456304,Brief,FAILED,Voting the double bottom line : active governance by microfinance equity investors : Apoyo al doble resultado final : participación activa de los inversionistas en capital accionario en la gestión institucional de entidades microfinancieras<BR>,"Debt Markets,Microfinance,Corporate Law,Emerging Markets,Access to Finance",https://documents.worldbank.org/curated/en/855281468179969977/pdf/713100BRI0SPAN00Box377351B00PUBLIC0.pdf
Papua New Guinea,2000-06-16,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/846821468293139327/pdf/D6FAB7D9B36250E885256F030014860A.pdf,English,http://documents.worldbank.org/curated/en/846821468293139327/Conformed-Copy-L7018-Mining-Sector-Institutional-Strengthening-Technical-Assistance-Project-Loan-Agreement,World Bank,World Bank Documents & Reports,mediation,5086508,Loan Agreement,FAILED,Conformed Copy - L7018 - Mining Sector Institutional Strengthening Technical Assistance Project - Loan Agreement,"Mining & Extractive Industry (Non-Energy),Skills Development and Labor Force Training,Banks & Banking Reform,m,Bankruptcy and Resolution of Financial Distress,Debt Markets,Emerging Markets,Oil & Gas",https://documents.worldbank.org/curated/en/846821468293139327/pdf/D6FAB7D9B36250E885256F030014860A.pdf
