CASE_ID,CASE_NAME,DOMAIN,DATES,PARTIES,COUNTRIES,INDUSTRIES,SOURCE_COUNT,PRIMARY_SOURCE_COUNT,TRANSCRIPT_AVAILABLE,AGREEMENT_AVAILABLE,SUCCESS_FAILURE_STATUS,RELATED_CASES
CASE-00001,1975 Middle East shuttle diplomacy breakdown,Diplomatic and strategic negotiation,1975-03-28,Gerald Ford; Henry Kissinger; Nelson Rockefeller,United States,,1,1,True,False,UNASSESSED,
CASE-00002,Clinton-Yeltsin diplomacy and strategic negotiations,Diplomatic and strategic negotiation,1993-04-03; 1993-04-04; 1993-05-05; 1993-07-10; 1995-05-10; 1995-11-23; 1997-03-21; 1997-11-22; 1998-02-02; 1998-03-24; 1998-04-06; 1998-05-02; 1998-05-17; 1998-08-25; 1999-04-19,Bill Clinton; Boris Yeltsin,United States,,15,15,True,False,UNASSESSED,
CASE-00003,Elon Musk acquisition of Twitter,MA,2022-07-26,Elon Musk; Morgan Stanley; Twitter,United States,,1,1,False,False,UNASSESSED,
CASE-00004,Google acquisition of Fitbit,MA,2019-12-12,Fitbit; Google; other bidders,United States,,1,1,False,False,UNASSESSED,
CASE-00005,INTELSAT negotiations,Diplomatic and strategic negotiation,1969-01-15; 1969-02-25,Aldoshin; Leonard Marks; Minoshin; Pakistani delegation; Thacher; U.S. delegation,United States,,2,2,True,False,UNASSESSED,
CASE-00006,Microsoft acquisition of LinkedIn,MA,2016-07-22,LinkedIn; Microsoft; Party A; Qatalyst Partners,United States,,1,1,False,False,UNASSESSED,
CASE-00007,Northern Ireland peace process,peace/diplomatic,,,United Kingdom,,1,1,False,True,UNASSESSED,
CASE-00008,Pfizer-BioNTech COVID-19 vaccine collaboration,PHARMA,2020-03-17,BioNTech; Pfizer,United States;Germany,,1,1,False,False,UNASSESSED,
CASE-00009,SALT II / Vladivostok framework,Diplomatic and strategic negotiation,1975,Gerald Ford; Henry Kissinger; William Clements,United States,,1,1,True,False,UNASSESSED,
CASE-00010,San Francisco Conference,INTERNATIONAL,1945-06-26,United Nations member states,International,,1,1,False,False,UNASSESSED,
CASE-00011,Sinai I disengagement negotiations,Diplomatic and strategic negotiation,1974,Henry Kissinger; James Schlesinger,United States,,1,1,True,False,UNASSESSED,
CASE-00012,Sinai II disengagement negotiations,Diplomatic and strategic negotiation,1975-03-26; 1975-06-20,Brent Scowcroft; Cabinet; Gerald Ford; Henry Kissinger,United States,,2,2,True,False,UNASSESSED,
CASE-00013,US-BOLT Climate,VC,2024-04-04,startup licensees; universities; venture capital firms,United States,,1,1,False,False,UNASSESSED,
CASE-00014,US-BOLT Life Science,VC,2022-11-19,startup licensees; universities; venture capital firms,United States,,1,1,False,False,UNASSESSED,
CASE-00015,Uruguay Round,LEGAL,1994-04-15,WTO members,International,,4,4,False,False,UNASSESSED,
CASE-00016,Vienna Conference on the Law of Treaties,INTERNATIONAL,1969-05-23,States Parties,International,,1,1,False,False,UNASSESSED,
