CONCEPT,SOURCE_COUNT,SOURCE_IDS
Auction Theory and Applications,4,SCH-1994-024; SCH-2006-049; SCH-2008-011; SCH-2009-021
Business Strategy and Innovation,1,SCH-1994-030
Conflict Management and Negotiation,1,SCH-1999-016
Consumer Market Behavior and Pricing,1,BAR-2013-009
Corporate Finance and Governance,3,SCH-1994-024; SCH-2008-011; SCH-2009-021
Economic Policies and Impacts,1,SCH-2008-011
Electoral Systems and Political Participation,1,BAR-2004-006
European Union Policy and Governance,1,BAR-2004-006
Game Theory and Applications,2,SCH-2006-049; SCH-2009-021
Game Theory and Voting Systems,1,SCH-2006-049
Good Friday Agreement,1,PEACE-BELFAST-1998-AGREEMENT
"Language, Metaphor, and Cognition",1,SCH-1999-016
"Law, Economics, and Judicial Systems",2,BAR-2000-012; SCH-1994-024
Merger and Competition Analysis,1,BAR-2013-009
Pharmaceutical Economics and Policy,1,BAR-2013-009
Political Influence and Corporate Strategies,1,BAR-2004-006
Team Dynamics and Performance,1,SCH-1999-016
Uruguay Round,1,INT-WTO-MARRAKESH-1994
arbitration,1,INT-WTO-DSU-1994
auction,1,MA-LINKEDIN-MSFT-2016
bidding,1,MA-FITBIT-GOOGLE-2019
board process,3,MA-FITBIT-GOOGLE-2019; MA-LINKEDIN-MSFT-2016; MA-TWITTER-MUSK-2022
co-development,1,PHARMA-PFIZER-BNTX-2020
collective bargaining,1,LAB-ILO-CB-GUIDE-2015
collective security,1,INT-UN-CHARTER-1945
commercialization,1,PHARMA-PFIZER-BNTX-2020
concessions,1,INT-WTO-GATT-1994
consultation,1,INT-WTO-DSU-1994
cost sharing,1,PHARMA-PFIZER-BNTX-2020
counteroffers,1,MA-LINKEDIN-MSFT-2016
