SOURCE_ID,TITLE,SUBTITLE,AUTHOR,AUTHORS,ORGANIZATION,DATE,YEAR,LANGUAGE,COUNTRY,SOURCE_TYPE,DOMAIN,SUBDOMAIN,TOPICS,CASE_NAME,PARTICIPANTS,URL,DOI,ISBN,ARCHIVE_ID,DOCUMENT_NUMBER,FILE_PATH,FILE_FORMAT,PAGE_COUNT,WORD_COUNT,PRIMARY_SOURCE,SECONDARY_SOURCE,ORIGINAL_SOURCE,HOST_SOURCE,ACCESS_DATE,ACCESS_STATUS,COPYRIGHT_STATUS,LICENSE,TRAINING_PERMISSION,PROVENANCE,RELIABILITY_SCORE,TRAINING_VALUE,UNIQUENESS_SCORE,CASE_VALUE,TRANSCRIPT_VALUE,SOURCE_QUALITY,OCR_REQUIRED,OCR_QUALITY,DUPLICATE_STATUS,PARENT_SOURCE,RELATED_SOURCES,NOTES,SHA256,FILE_SIZE_BYTES,AUTHORITY,PRIMARY_SOURCE_VALUE,RELIABILITY,NEGOTIATION_RELEVANCE,INFORMATION_DENSITY,CASE_DETAIL,TACTICAL_DETAIL,STRATEGIC_DETAIL,OUTCOME_VISIBILITY,COUNTERPARTY_VISIBILITY,UNIQUENESS
BAR-2000-012,"Preferences, Property Rights, and Anonymity in Bargaining Games",,Elizabeth Hoffman,Elizabeth Hoffman; Kevin McCabe; Keith Shachat; Vernon L. Smith,University of Arizona,2000-06-12,2000,en,US,scholarly paper,negotiation science,"Law, Economics, and Judicial Systems","Law, Economics, and Judicial Systems",,,https://dlc.dlib.indiana.edu/bitstreams/eb9dd651-72ef-45cb-b6f0-5ac5715ee975/download,10.1017/cbo9780511528347.008,,W1576992071,,negotiations/PAPERS/BAR-2000-012_preferences-property-rights-and-anonymity-in-bargaining-games/original.pdf,PDF,42,,FALSE,TRUE,https://doi.org/10.1017/cbo9780511528347.008,dlc.dlib.indiana.edu,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,Open-access copy; specific license not stated by repository,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W1576992071; downloaded directly from dlc.dlib.indiana.edu on 2026-09-20,5,4,4,2,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W1997775730; https://openalex.org/W1966494590; https://openalex.org/W3023934611; https://openalex.org/W2157186778; https://openalex.org/W1993929477; https://openalex.org/W2033319591; https://openalex.org/W2082747743; https://openalex.org/W2071573776,OpenAlex cited_by_count=265; OA status=green,a3ff1d03753017887651ca8ca57b3348507b85a937b5a0e285b2bf9d1ba07322,492643,5,1,,5,4,3,3,4,3,3,4
BAR-2004-006,Open-Door or Closed-Door? Transparency in Domestic and International Bargaining,,David Stasavage,David Stasavage,London School of Economics and Political Science,2004-10-01,2004,en,GB,scholarly paper,negotiation science,European Union Policy and Governance,European Union Policy and Governance; Political Influence and Corporate Strategies; Electoral Systems and Political Participation,,,https://researchonline.lse.ac.uk/id/eprint/225/1/open-door8.pdf,10.1017/s0020818304040214,,W2143099036,,negotiations/PAPERS/BAR-2004-006_open-door-or-closed-door-transparency-in-domestic-and-international-bargaining/original.pdf,PDF,59,,FALSE,TRUE,https://doi.org/10.1017/s0020818304040214,researchonline.lse.ac.uk,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,Open-access copy; specific license not stated by repository,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W2143099036; downloaded directly from researchonline.lse.ac.uk on 2026-09-20,5,4,4,2,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W4285318645; https://openalex.org/W4210530385; https://openalex.org/W4210745220; https://openalex.org/W1577348622; https://openalex.org/W4233161300; https://openalex.org/W4250495705,OpenAlex cited_by_count=332; OA status=green,acb8dd2a877c0e285ea735a858c28078e8b98648fd5d16907c980787d9f6bfe6,413145,5,1,,5,4,3,3,4,3,3,4
BAR-2013-009,Price Discrimination and Bargaining: Empirical Evidence from Medical Devices,,Matthew Grennan,Matthew Grennan,University of Toronto,2013-01-28,2013,en,CA,scholarly paper,negotiation science,Consumer Market Behavior and Pricing,Consumer Market Behavior and Pricing; Merger and Competition Analysis; Pharmaceutical Economics and Policy,,,https://repository.upenn.edu/bitstreams/38160ad0-80fc-4c23-98c8-7d7da6ccce78/download,10.1257/aer.103.1.145,,W2096094825,,negotiations/PAPERS/BAR-2013-009_price-discrimination-and-bargaining-empirical-evidence-from-medical-devices/original.pdf,PDF,34,,FALSE,TRUE,https://doi.org/10.1257/aer.103.1.145,repository.upenn.edu,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,Open-access copy; specific license not stated by repository,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W2096094825; downloaded directly from repository.upenn.edu on 2026-09-20,5,4,4,2,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W3123813253; https://openalex.org/W3087046172; https://openalex.org/W4287995793; https://openalex.org/W2047453649; https://openalex.org/W2043660387; https://openalex.org/W2605798446; https://openalex.org/W3215120865; https://openalex.org/W2367697891,OpenAlex cited_by_count=320; OA status=green,d5c9ed37a6ddd58e1fdf26cb076db88a6b25b74ff2ae79572c9f4a87089ee6fc,833674,5,1,,5,4,3,3,4,3,3,4
INT-UN-CHARTER-1945,Charter of the United Nations and Statute of the International Court of Justice,,,,United Nations,1945-06-26,1945,English,International,treaty,INTERNATIONAL,founding treaty,multilateral negotiation;international organization;collective security,San Francisco Conference,United Nations member states,https://treaties.un.org/doc/publication/ctc/uncharter.pdf,,,,UN Charter,negotiations/INTERNATIONAL/un_charter_1945/original.pdf,PDF,54,,TRUE,FALSE,TRUE,United Nations,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official UN Treaty Collection PDF.,37ceb122b52dfaee7581f9abc3aed3c8ccd4f3e999ff38f98e0df2060eaab483,2972588,5,5,5,5,5,3,3,4,5,4,4
INT-UN-VCLT-1969,Vienna Convention on the Law of Treaties,,,,United Nations,1969-05-23,1969,English,International,treaty,INTERNATIONAL,treaty law,treaty negotiation;interpretation;ratification;reservations,Vienna Conference on the Law of Treaties,States Parties,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,,,,A/CONF.39/27,negotiations/INTERNATIONAL/vienna_convention_law_treaties_1969/original.pdf,PDF,31,,TRUE,FALSE,TRUE,United Nations,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official UN Office of Legal Affairs text.,f01906ba0581d7329f685d49656e9a7cb3c5d0a8790219e1600c1edb30893d08,160283,5,5,5,5,5,3,3,4,5,4,4
INT-WTO-DSU-1994,Understanding on Rules and Procedures Governing the Settlement of Disputes,,,,World Trade Organization,1994-04-15,1994,English,International,dispute settlement agreement,LEGAL,international dispute resolution,consultation;mediation;settlement;arbitration;implementation,Uruguay Round,WTO members,https://www.wto.org/english/docs_e/legal_e/28-dsu.pdf,,,,DSU,negotiations/LEGAL/wto_dispute_settlement_understanding_1994/original.pdf,PDF,26,,TRUE,FALSE,TRUE,World Trade Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official WTO legal text PDF.,db4ec5ff20e340b7b2f3aec0667518f86173b60c0323bf21d2274c4b08bf9896,144056,5,5,5,5,5,3,3,4,5,4,4
INT-WTO-GATT-1994,General Agreement on Tariffs and Trade 1994,,,,World Trade Organization,1994-04-15,1994,English,International,trade agreement,INTERNATIONAL,goods trade,tariffs;concessions;trade negotiation;safeguards,Uruguay Round,WTO members,https://www.wto.org/english/docs_e/legal_e/06-gatt.pdf,,,,GATT 1994,negotiations/INTERNATIONAL/gatt_1994/original.pdf,PDF,2,,TRUE,FALSE,TRUE,World Trade Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official WTO legal text PDF.,0caa75ada80990ad6f6a71f9a76b333e43511d5337f8b41aceb00e87cd98ecf9,41216,5,5,5,5,5,3,3,4,5,4,4
INT-WTO-MARRAKESH-1994,Marrakesh Agreement Establishing the World Trade Organization,,,,World Trade Organization,1994-04-15,1994,English,International,trade agreement,INTERNATIONAL,multilateral trade,Uruguay Round;institution building;trade negotiation,Uruguay Round,WTO members,https://www.wto.org/english/docs_e/legal_e/04-wto.pdf,,,,WTO Agreement,negotiations/INTERNATIONAL/wto_marrakesh_agreement_1994/original.pdf,PDF,13,,TRUE,FALSE,TRUE,World Trade Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official WTO legal text PDF.,303dafaee1d9ba9115001ac3d130bbc6f6849aafcbd0bc3106e2929341285f81,146945,5,5,5,5,5,3,3,4,5,4,4
INT-WTO-TRIPS-1994,Agreement on Trade-Related Aspects of Intellectual Property Rights,,,,World Trade Organization,1994-04-15,1994,English,International,trade agreement,INTERNATIONAL,intellectual property,intellectual property;licensing;trade negotiation;enforcement,Uruguay Round,WTO members,https://www.wto.org/english/docs_e/legal_e/27-trips.pdf,,,,TRIPS,negotiations/INTERNATIONAL/wto_trips_agreement_1994/original.pdf,PDF,33,,TRUE,FALSE,TRUE,World Trade Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official WTO legal text PDF.,baa5beb7dda530e57dcf126779e4a0a53571460e19ed72a8aeb6e90500af5540,197733,5,5,5,5,5,3,3,4,5,4,4
LAB-ILO-CB-GUIDE-2015,Collective Bargaining: A Policy Guide,,,,International Labour Organization,2015-01-01,2015,English,International,institutional guide,LABOR,collective bargaining,collective bargaining;labor negotiation;dispute prevention;implementation,,governments;employers;workers organizations,https://www.ilo.org/sites/default/files/wcmsp5/groups/public/%40ed_protect/%40protrav/%40travail/documents/instructionalmaterial/wcms_425004.pdf,,,,ISBN 978-92-2-129232-6,negotiations/LABOR/ilo_collective_bargaining_policy_guide_2015/original.pdf,PDF,106,,FALSE,TRUE,TRUE,International Labour Organization,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,4,4,4,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official ILO open web PDF; secondary institutional guidance with model processes.,1557823a48fbe3948750e389ec045e8e79115a2ba3298dedc0194c2fece66623,2267646,5,2,5,5,5,3,3,4,5,4,4
