PERSON,SOURCE_COUNT,SOURCE_IDS
Aldoshin,1,USGOV-NARA-0001
Bill Clinton,15,USGOV-NARA-0003; USGOV-NARA-0004; USGOV-NARA-0005; USGOV-NARA-0006; USGOV-NARA-0007; USGOV-NARA-0008; USGOV-NARA-0009; USGOV-NARA-0010; USGOV-NARA-0011; USGOV-NARA-0012; USGOV-NARA-0013; USGOV-NARA-0014; USGOV-NARA-0015; USGOV-NARA-0016; USGOV-NARA-0017
BioNTech,1,PHARMA-PFIZER-BNTX-2020
Boris Yeltsin,15,USGOV-NARA-0003; USGOV-NARA-0004; USGOV-NARA-0005; USGOV-NARA-0006; USGOV-NARA-0007; USGOV-NARA-0008; USGOV-NARA-0009; USGOV-NARA-0010; USGOV-NARA-0011; USGOV-NARA-0012; USGOV-NARA-0013; USGOV-NARA-0014; USGOV-NARA-0015; USGOV-NARA-0016; USGOV-NARA-0017
Brent Scowcroft,1,USGOV-PRES-0002
Cabinet,1,USGOV-PRES-0001
Elon Musk,1,MA-TWITTER-MUSK-2022
Fitbit,1,MA-FITBIT-GOOGLE-2019
Gerald Ford,4,USGOV-PRES-0001; USGOV-PRES-0002; USGOV-PRES-0003; USGOV-PRES-0005
Google,1,MA-FITBIT-GOOGLE-2019
Henry Kissinger,5,USGOV-PRES-0001; USGOV-PRES-0002; USGOV-PRES-0003; USGOV-PRES-0004; USGOV-PRES-0005
James Schlesinger,1,USGOV-PRES-0004
Leonard Marks,1,USGOV-NARA-0001
LinkedIn,1,MA-LINKEDIN-MSFT-2016
Microsoft,1,MA-LINKEDIN-MSFT-2016
Minoshin,1,USGOV-NARA-0001
Morgan Stanley,1,MA-TWITTER-MUSK-2022
Nelson Rockefeller,1,USGOV-PRES-0005
Pakistani delegation,1,USGOV-NARA-0002
Party A,1,MA-LINKEDIN-MSFT-2016
Pfizer,1,PHARMA-PFIZER-BNTX-2020
Qatalyst Partners,1,MA-LINKEDIN-MSFT-2016
States Parties,1,INT-UN-VCLT-1969
Thacher,1,USGOV-NARA-0001
Twitter,1,MA-TWITTER-MUSK-2022
U.S. delegation,1,USGOV-NARA-0002
United Nations member states,1,INT-UN-CHARTER-1945
WTO members,4,INT-WTO-DSU-1994; INT-WTO-GATT-1994; INT-WTO-MARRAKESH-1994; INT-WTO-TRIPS-1994
William Clements,1,USGOV-PRES-0003
employers,1,LAB-ILO-CB-GUIDE-2015
governments,1,LAB-ILO-CB-GUIDE-2015
other bidders,1,MA-FITBIT-GOOGLE-2019
startup licensees,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
universities,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
venture capital firms,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
workers organizations,1,LAB-ILO-CB-GUIDE-2015
