SOURCE_ID,error,at
W1990944405,HTTP Error 403: Forbidden,2026-09-20T18:49:46.004344+00:00
W2065691580,HTTP Error 405: Not Allowed,2026-09-20T18:49:46.949391+00:00
W2743723307,response is not a PDF,2026-09-20T18:49:47.564661+00:00
W2901288482,HTTP Error 403: Forbidden,2026-09-20T18:49:48.223227+00:00
W2596136491,HTTP Error 403: Forbidden,2026-09-20T18:49:50.948651+00:00
W4285589279,response is not a PDF,2026-09-20T18:49:51.548391+00:00
W1841503003,response is not a PDF,2026-09-20T18:49:52.425949+00:00
W2563047483,HTTP Error 403: Forbidden,2026-09-20T18:49:53.567300+00:00
W4387230377,HTTP Error 403: Forbidden,2026-09-20T18:49:54.522017+00:00
W2909340128,response is not a PDF,2026-09-20T18:49:58.080304+00:00
W4220668353,HTTP Error 403: Forbidden,2026-09-20T18:50:05.659151+00:00
W2052925571,response is not a PDF,2026-09-20T18:50:07.930674+00:00
W3173114633,response is not a PDF,2026-09-20T18:50:08.994965+00:00
W2992941683,HTTP Error 403: Forbidden,2026-09-20T18:50:12.001830+00:00
W3092652958,HTTP Error 403: Forbidden,2026-09-20T18:50:12.613372+00:00
W4384119900,HTTP Error 403: Forbidden,2026-09-20T18:50:19.830972+00:00
W3157872126,response is not a PDF,2026-09-20T18:50:22.779562+00:00
W3037704972,HTTP Error 403: Forbidden,2026-09-20T18:50:23.886276+00:00
W1983825491,HTTP Error 403: Forbidden,2026-09-20T18:50:24.713327+00:00
W1990944405,HTTP Error 403: Forbidden,2026-09-21T04:36:30.880750+00:00
W2743723307,response is not a PDF,2026-09-21T04:36:49.313885+00:00
W2901288482,HTTP Error 403: Forbidden,2026-09-21T04:36:50.795055+00:00
W2596136491,HTTP Error 403: Forbidden,2026-09-21T04:36:52.085401+00:00
W4285589279,response is not a PDF,2026-09-21T04:36:52.561939+00:00
W1841503003,response is not a PDF,2026-09-21T04:36:53.561796+00:00
W2563047483,HTTP Error 403: Forbidden,2026-09-21T04:36:54.218869+00:00
W4387230377,HTTP Error 403: Forbidden,2026-09-21T04:36:54.637057+00:00
W2909340128,response is not a PDF,2026-09-21T04:36:55.209231+00:00
W4220668353,HTTP Error 403: Forbidden,2026-09-21T04:36:56.943501+00:00
W2052925571,response is not a PDF,2026-09-21T04:36:57.270701+00:00
W3173114633,response is not a PDF,2026-09-21T04:36:57.604606+00:00
W2992941683,HTTP Error 403: Forbidden,2026-09-21T04:36:58.012631+00:00
W3092652958,HTTP Error 403: Forbidden,2026-09-21T04:36:58.373622+00:00
W4384119900,HTTP Error 403: Forbidden,2026-09-21T04:36:58.866661+00:00
W3157872126,response is not a PDF,2026-09-21T04:37:00.915444+00:00
W3037704972,HTTP Error 403: Forbidden,2026-09-21T04:37:01.940461+00:00
W1983825491,HTTP Error 403: Forbidden,2026-09-21T04:37:02.314492+00:00
W2429118098,response is not a PDF,2026-09-21T04:37:06.288956+00:00
W2124312773,response is not a PDF,2026-09-21T04:37:07.038579+00:00
W3138120985,response is not a PDF,2026-09-21T04:37:07.447229+00:00
W3107587855,HTTP Error 403: Forbidden,2026-09-21T04:37:24.829251+00:00
W2141697271,response is not a PDF,2026-09-21T04:37:29.241824+00:00
W3189217376,HTTP Error 403: Forbidden,2026-09-21T04:37:30.557183+00:00
W3148769266,HTTP Error 403: Forbidden,2026-09-21T04:37:41.857860+00:00
W2530001457,response is not a PDF,2026-09-21T04:37:51.576793+00:00
W3176386948,response is not a PDF,2026-09-21T04:37:51.990307+00:00
W2264814036,response is not a PDF,2026-09-21T04:37:53.007947+00:00
W3191131351,HTTP Error 404: Not Found,2026-09-21T04:37:54.438410+00:00
W2512083222,HTTP Error 403: Forbidden,2026-09-21T04:37:54.884968+00:00
W2497832693,response is not a PDF,2026-09-21T04:37:57.443773+00:00
W3008850499,response is not a PDF,2026-09-21T04:38:32.811892+00:00
W3081778980,response is not a PDF,2026-09-21T04:39:20.614619+00:00
W2166623920,HTTP Error 403: Forbidden,2026-09-21T04:39:24.315094+00:00
W3158414042,response is not a PDF,2026-09-21T04:39:34.967954+00:00
W2954134521,HTTP Error 403: Forbidden,2026-09-21T04:39:35.363502+00:00
W4386600298,response is not a PDF,2026-09-21T04:39:41.460304+00:00
W2914730168,HTTP Error 403: Forbidden,2026-09-21T04:39:41.865981+00:00
