SOURCE_ID,STATUS,FILE_PATH,FILE_SHA256,FILE_BYTES,ACQUIRED_AT,ERROR
W1983825491,FAILED,corpus/W1983825491/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W1990944405,FAILED,corpus/W1990944405/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W2052925571,FAILED,corpus/W2052925571/original.pdf,,,,ValueError: response is not a PDF
W2107830425,EXISTS,corpus/W2107830425/original.pdf,c266859b50eaaaeed22a144115340208c9586571c60ced1b3c194cf6f53b68c3,177453,,
W2563047483,FAILED,corpus/W2563047483/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W2596136491,FAILED,corpus/W2596136491/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W2806233644,EXISTS,corpus/W2806233644/original.pdf,75eb463a8789b37c27cc378914f96a7b36660da4e0c91b89c3274852373715c8,976405,,
W2901288482,FAILED,corpus/W2901288482/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W3086463303,EXISTS,corpus/W3086463303/original.pdf,16dc478ec14947becfa3c03925ca3cab459948e638e137b302f59d7b93505890,770250,,
W3138120985,FAILED,corpus/W3138120985/original.pdf,,,,ValueError: response is not a PDF
W3148769266,FAILED,corpus/W3148769266/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W3176167011,EXISTS,corpus/W3176167011/original.pdf,e22d850512c9aa27a3c5f235277d6cf6f2e2dfa83e85d4a7e968de24659be655,543848,,
W3194815418,EXISTS,corpus/W3194815418/original.pdf,09af6650c274d0663a553ce9097924e0fe322eb5bf3afbf5415a3af13d6ea879,608609,,
W4311753461,EXISTS,corpus/W4311753461/original.pdf,7d005583d12834391640af2a9d9a43cd11ae613fdd3dc3a1ab6d1be9faaf1e4d,349344,,
W4387230377,FAILED,corpus/W4387230377/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
