pmcid,pmid,doi,title,journal,year,license_code,license_text,oa_status,package_url,download_status,sha256,pdf_file,failure
PMC8592609,34775927,10.1080/10872981.2021.1983926,Medical Education e-Professionalism (MEeP) framework; from conception to development.,Medical education online,2021,CC BY,PMC metadata license_code=CC BY,oa_subset,s3://pmc-oa-opendata/PMC8592609.1/PMC8592609.1.pdf?md5=48c31fd2fd10818acd8abdfc382423d5,failed,,,URLError: <urlopen error unknown url type: s3>
PMC12109791,40422605,10.3390/dj13050186,Culture and Behaviour Management of Children in the Dental Clinic: A Scoping Review.,Dentistry journal,2025,CC BY,PMC metadata license_code=CC BY,oa_subset,s3://pmc-oa-opendata/PMC12109791.1/PMC12109791.1.pdf?md5=44b5c1a1b7afdb4b0904713287037d48,failed,,,URLError: <urlopen error unknown url type: s3>
PMC5715760,29133409,10.1073/pnas.1710966114,Psychological targeting as an effective approach to digital mass persuasion.,Proceedings of the National Academy of Sciences of the United States of America,2017,CC BY-NC-ND,PMC metadata license_code=CC BY-NC-ND,oa_subset,s3://pmc-oa-opendata/PMC5715760.1/PMC5715760.1.pdf?md5=ff452d31d68189549fe408326cfb7fc7,failed,,,URLError: <urlopen error unknown url type: s3>
PMC5854354,29543845,10.1371/journal.pone.0194119,We will make you like our research: The development of a susceptibility-to-persuasion scale.,PloS one,2018,CC BY,PMC metadata license_code=CC BY,oa_subset,s3://pmc-oa-opendata/PMC5854354.1/PMC5854354.1.pdf?md5=e3cfe8ab0ecad21a8b7948e86116d2e0,failed,,,URLError: <urlopen error unknown url type: s3>
PMC9285495,35066870,10.1111/psyp.14001,Exploring physiologic reactions to persuasive information.,Psychophysiology,2022,CC BY-NC-ND,PMC metadata license_code=CC BY-NC-ND,oa_subset,s3://pmc-oa-opendata/PMC9285495.1/PMC9285495.1.pdf?md5=aaa9e8ffa12123c13661f6b570c88b40,failed,,,URLError: <urlopen error unknown url type: s3>
PMC8485190,34528889,10.2196/22312,Web-Based Behavioral Intervention Utilizing Narrative Persuasion for HIV Prevention Among Chinese Men Who Have Sex With Men (HeHe Talks Project): Intervention Development.,Journal of medical Internet research,2021,CC BY,PMC metadata license_code=CC BY,oa_subset,s3://pmc-oa-opendata/PMC8485190.1/PMC8485190.1.pdf?md5=e7b40ba9002c2168a837767e550776f9,failed,,,URLError: <urlopen error unknown url type: s3>
PMC7077012,32178669,10.1186/s12909-020-1993-0,Teaching medical professionalism: a qualitative exploration of persuasive communication as an educational strategy.,BMC medical education,2020,CC BY,PMC metadata license_code=CC BY,oa_subset,s3://pmc-oa-opendata/PMC7077012.1/PMC7077012.1.pdf?md5=52504b1eaafe7984b8b42289d5643856,failed,,,URLError: <urlopen error unknown url type: s3>
PMC2211296,18093312,10.1186/1472-6963-7-207,The development of a theory-based intervention to promote appropriate disclosure of a diagnosis of dementia.,BMC health services research,2007,CC BY,PMC metadata license_code=CC BY,oa_subset,s3://pmc-oa-opendata/PMC2211296.1/PMC2211296.1.pdf?md5=78501ee8ea0e87277d9c582d2db9e18b,failed,,,URLError: <urlopen error unknown url type: s3>
PMC6480537,30935151,10.3390/ijerph16071162,COPE.er Method: Combating Digital Addiction via Online Peer Support Groups.,International journal of environmental research and public health,2019,CC BY,PMC metadata license_code=CC BY,oa_subset,s3://pmc-oa-opendata/PMC6480537.1/PMC6480537.1.pdf?md5=f72dd4f1c4953d4c3cdbd7eb6aa866cd,failed,,,URLError: <urlopen error unknown url type: s3>
PMC10171234,37179863,10.3389/fpsyg.2023.1072187,When narratives speak louder than numbers: the effects of narrative persuasion across the stages of behavioural change to reduce air pollution.,Frontiers in psychology,2023,CC BY,PMC metadata license_code=CC BY,oa_subset,s3://pmc-oa-opendata/PMC10171234.1/PMC10171234.1.pdf?md5=9ac50c2575dbefbc2b731be4ff81dd1a,failed,,,URLError: <urlopen error unknown url type: s3>
